Elora1998						
92	7.4	2.5	0.06	3.6	6.804	78.23
93	8.2	1.9	0.02	3.6	7.956	78.71
94	6.2	-0.1	0	3.6	17.244	73.82
95	8.5	-2.7	0	3.6	24.48	74.63
96	10.9	-4	0	3.6	23.58	70.93
97	14.6	-2.4	0	3.6	22.5	64.45
98	7	3.2	0.54	3.6	6.264	77.92
99	8.8	3.8	0	3.6	7.56	80.07
100	10.5	-0.5	0	3.6	25.092	68.01
101	12.6	-2.3	0	3.6	24.192	63.96
102	19.2	-0.2	0	3.6	21.6	65.85
103	18.8	2.1	0	3.6	18.36	57.67
104	13.1	6.7	0.42	3.6	5.112	78.92
105	12.3	4.7	0	3.6	18.216	81.43
106	16.3	5.4	1.56	3.6	7.668	89.07
107	6.2	1.1	0	3.6	11.448	77.66
108	15	0.6	0	3.6	24.192	63.86
109	11.7	5	0.16	3.6	9.108	77.46
110	15.2	3.4	0	3.6	24.984	78.74
111	17.1	0.2	0	3.6	23.184	61.93
112	18.6	0.8	0	3.6	24.012	61.53
113	19.4	0.5	0	3.6	25.38	55.7
114	18.1	1.9	0	3.6	24.192	57.97
115	12.2	-1.6	0.06	3.6	23.868	64.05
116	11.2	0.7	0	3.6	14.508	53.67
117	10	-3.5	0	3.6	25.92	65.59
118	15	-2.2	0	3.6	26.676	59.72
119	17.5	-0.8	0	3.6	20.016	58.49
120	21.4	3.9	0	3.13	22.32	77.78
121	19.2	8.8	0	3.13	7.272	87.94
122	18.7	11.3	0.04	3.13	12.204	89.89
123	21.2	11	0	3.13	16.128	78.86
124	17.4	7.3	0	3.13	13.68	86.65
125	20.7	11.1	0.02	3.13	15.156	78.3
126	25	3.3	0	3.13	22.5	77.42
127	23.3	7.8	0	3.13	23.724	72.6
128	21	13.1	0	3.13	13.32	77.22
129	21.8	11.4	0	3.13	23.58	64.75
130	17.5	10.9	1.46	3.13	8.712	78.14
131	15.7	8	0.16	3.13	6.948	83.33
132	16.2	6.5	0	3.13	12.24	78.66
133	21.7	11.1	0	3.13	24.264	79.8
134	28.3	8.1	0	3.13	23.364	72.25
135	30.7	11	0	3.13	25.416	68.61
136	28.6	14.2	0	3.13	19.872	75.59
137	24.5	11.9	0.04	3.13	29.664	50.72
138	28.2	10	0	3.13	24.984	44.02
139	30.5	14.9	0.78	3.13	24.48	53.94
140	25.4	13.3	0	3.13	29.34	63.62
141	12.9	5.4	0	3.13	19.62	63.87
142	16.4	2.5	0	3.13	29.736	56.51
143	20.9	1.9	0	3.13	30.816	42.61
