elora2003							
250	25.3	9.7	0	2.63	19.12	62.97	
251	22.3	10.8	0	3.43	22.1	61.52	
252	22.6	9.3	0	3.17	23.18	60.5	
253	24.9	10	0	1.51	21.56	64.48	
254	27.4	11.1	0	1.85	22.07	55.17	
255	25.1	13.3	0	2.92	20.3	64.25	
256	26.5	10.9	0	2.47	20.02	73.58	
257	24.1	18	0.72	2.82	10.26	79.12	
258	19.3	15.5	0.5	3.29	8.1	84.64	
259	21.3	7	0.02	2.57	20.38	58.88	
260	24.8	8	0	2.13	20.84	59.84	
261	22.1	10	0.58	3.59	16.99	69.39	
262	17.8	14.5	1.5	5.38	4.03	87.91	
263	18.4	7.2	0	2.86	16.6	63.41	
264	18.9	4.2	0	2.44	20.95	71.55	
265	18.2	9.3	1.56	4.56	3.24	94.55	
266	16.3	12.1	0	4.58	11.66	74.3	
267	19.2	4.3	0.7	4.77	7.7	68.69	
268	14.8	7.1	0	3.41	12.71	66.89	
269	17.3	1.5	1.72	2.6	12.28	68.41	
270	16.9	12.1	0.12	4.72	12.31	80.54	
271	15	5.6	0	2.4	11.27	77.13	
272	11.7	4.8	0	3.31	9.94	78.46	
273	10.4	0.1	0.08	4.13	9	74.75	
274	9.9	-1	0.22	3.75	8.71	73.31	
275	8.6	-0.1	0.02	3.93	13.28	77.12	
276	10.7	-3	1.18	6.08	6.88	66.53	
277	9	2.9	0.26	4.32	10.37	79.47	
278	8.3	-0.4	0.06	3.37	10.22	78.91	
279	11.3	-2.7	0	1.3	13.46	73.42	
280	15.9	-3.3	0	2.17	17.21	71.25	
281	24.8	3.5	0	3.08	16.81	82.26	
282	24.7	6.8	0	1.07	15.3	80.01	
283	23.8	10	0	1.46	15.19	82.72	
284	22.5	9.1	0	1.79	15.48	79.36	
285	16.4	10	0.02	3.43	13.1	77.3	
286	17.6	1	0	2.19	15.08	72.53	
287	14.7	3.8	3.54	2.96	3.17	90.37	
288	9.9	6.4	0.02	7.56	11.27	73.23	
289	8.4	1.5	0	3.38	9.04	71.79	
290	8.3	-0.9	0	2.02	8.24	75.81	
291	7.3	-0.3	0.26	2.25	3.35	80.1	
292	9.2	4.3	0	2.06	7.74	82.59	
293	18.1	-0.4	0	4.57	11.77	79.49	
294	7.8	6.8	0	4.84	3.13	85.02	
295	3	1.2	0	3.48	8.06	76.77	
296	3.7	-4.3	0.04	2.58	6.08	79.46	
297	8.1	-2.7	0	1.71	10.48	81.12	
298	9.8	3.2	1.46	1.74	5.9	89.43	
299	9	6.8	0.34	1.57	6.77	92.74	
300	7.2	0.6	0.04	1.99	4.18	86.65	
301	7.6	-2.9	0.4	3.43	3.78	83.77	
302	8.3	5.7	0	3.44	6.84	82.44	
303	12.9	2.5	0.02	2.79	9.68	82.57	
304	19.7	4.3	0	4.9	6.62	88.75	
305	9.2	7	1.16	1.98	4.64	86.51	
306	8.3	5.9	1.58	1.18	2.81	96.27	
307	8	6.2	1.71	2.63	1.76	91.76	
308	6	2.9	0	3.81	2.56	96.98	
309	10.7	2.8	0.06	3.46	2.88	92.94	
310	5.4	0.1	0	1.15	5.62	84.85	
311	4.3	-3.2	0	4.81	7.78	72.35	
312	-0.1	-6	0	1.83	7.2	67.44	
313	2.6	-8	0	1.52	9.86	69.18	
314	6.6	-8.1	0.61	1.54	8.82	74.9	
315	9.3	-0.7	0.07	3.9	2.92	96.81	
316	11.7	2.4	0.71	3.1	6.3	94.63	
317	-0.2	-2.1	0.07	10.37	3.02	78.51	
318	2.6	-4.9	0	5.3	3.2	79.03	
319	7.3	-1.8	0.17	1.53	7.24	90.01	
320	4.9	2.6	0.43	1.68	2.63	93.3	
321	5.3	2.6	0	2.07	4.39	94.65	
322	13.4	2.9	1.3	4.86	2.81	95.05	
323	8.8	7.9	0.31	4.26	3.89	96.14	
324	9.2	0.8	0	3.4	9.32	85.77	
325	9.5	3.1	0	3.14	8.96	84.59	
326	6.6	0.7	0	2.79	4.32	93.2	
327	16.8	3	0	3.49	4.32	93.12	
328	12.4	-0.2	0.58	7.3	1.76	90.59	
329	0.5	-3.9	0	4.8	6.55	73.99	
330	5.5	-1.1	0	2.84	7.52	80.58	
331	3.6	-3.1	0.93	1.62	2.27	98.78	
332	3.3	0.2	1.5	3.81	2.02	97.18	
333	0.4	-2.5	0.09	7.57	5.15	84.86	
334	4.5	-1.7	0	6.33	5.08	87.25	
335	-1.4	-3.1	0.21	6.62	3.89	80.16	
336	-6.1	-10.3	0	4.65	3.35	76.23	
337	-1.5	-15.5	0	1.84	5.18	80.24	
338	2.5	-10.6	0	1.94	6.08	85.38	
339	-2.2	-7	0	5.27	4.93	86.25	
340	-3.2	-11.4	0	2.39	3.6	79.38	
341	-3.1	-11.8	0	2.38	7.74	74.72	
342	0	-11.3	0	1.12	5.33	80.36	
343	1.2	-4.7	0	2.1	2.99	90.54	
344	5.1	0.7	1.04	3.36	3.64	95.18	
345	1.9	-1.5	0	5.53	3.96	88.77	
346	-3.3	-5.9	0.3	4.8	5.9	77.83	
347	-1.9	-16.9	0.08	2.56	5.22	74.87	
348	-2.8	-11.6	0.31	3.25	3.06	90.34	
349	-0.9	-3.9	0.06	2.68	3.92	89.66	
350	3.9	-4.1	0.22	4.58	4.18	94.51	
351	-1	-3.3	0.14	5.33	4.32	87.08	
352	-2.5	-6.2	0	4.43	3.92	84.4	
353	-1.8	-4.3	0.06	3.4	4.82	85.77	
354	-3.4	-9.5	0	3.65	5.08	82.79	
355	2.2	-6	0	6.99	6.62	84.02	
356	3	0	0.37	5.49	3.49	92.2	
357	2.8	1	1.18	2.22	2.92	100	
358	1.7	0.5	0	2.36	3.13	95.38	
359	-0.4	-2.6	0	4.02	4.43	86.68	
360	1.9	-2.9	0	5.11	5.72	89.03	
361	3.2	-2.2	0	1.91	6.34	92.76	
362	8.4	-2.9	0	3.34	6.12	93.32	
363	5.2	3.5	1.59	3.39	2.09	97.26	
364	0.5	-0.5	0.07	5.64	3.74	90.4	
365	4.5	-2.3	0	5.89	6.98	85.55	
