date,plot,rotation,wfps_5,wfps_25
4/1/2018,P3,Diverse,17.44642503,52.73744741
4/1/2018,P4,Diverse,22.26451178,62.16977487
4/2/2018,P1,Conventional,15.47024284,50.98733532
4/2/2018,P2,Conventional,17.04798301,59.80011395
4/2/2018,P3,Diverse,15.47024284,50.98733532
4/2/2018,P4,Diverse,20.43107161,59.80011395
4/3/2018,P1,Conventional,18.46992577,53.40816342
4/3/2018,P2,Conventional,21.59250395,61.56317096
4/3/2018,P3,Diverse,18.46992577,53.40816342
4/3/2018,P4,Diverse,23.81872225,61.56317096
4/4/2018,P1,Conventional,34.9554512,65.22954643
4/4/2018,P2,Conventional,28.95772479,72.60885631
4/4/2018,P3,Diverse,34.9554512,65.22954643
4/4/2018,P4,Diverse,31.24742201,72.60885631
4/5/2018,P1,Conventional,21.1117719,53.19625051
4/5/2018,P2,Conventional,18.11061464,63.32643251
4/5/2018,P3,Diverse,21.1117719,53.19625051
4/5/2018,P4,Diverse,20.9159293,63.32643251
4/6/2018,P1,Conventional,17.84151151,51.950472
4/6/2018,P2,Conventional,17.20349658,60.54036686
4/6/2018,P3,Diverse,17.84151151,51.950472
4/6/2018,P4,Diverse,19.66193082,60.54036686
4/7/2018,P1,Conventional,15.50472855,51.21882813
4/7/2018,P2,Conventional,16.5392563,59.58883876
4/7/2018,P3,Diverse,15.50472855,51.21882813
4/7/2018,P4,Diverse,18.6263574,59.58883876
4/8/2018,P1,Conventional,10.95331215,50.46419937
4/8/2018,P2,Conventional,14.95919391,59.15389577
4/8/2018,P3,Diverse,10.95331215,50.46419937
4/8/2018,P4,Diverse,16.85145673,59.15389577
4/9/2018,P1,Conventional,9.700659428,50.52631424
4/9/2018,P2,Conventional,16.57540588,59.91847535
4/9/2018,P3,Diverse,9.700659428,50.52631424
4/9/2018,P4,Diverse,17.39104997,59.91847535
4/10/2018,P1,Conventional,11.72632772,51.9285179
4/10/2018,P2,Conventional,19.81045502,61.2423797
4/10/2018,P3,Diverse,11.72632772,51.9285179
4/10/2018,P4,Diverse,19.83144567,61.2423797
4/11/2018,P1,Conventional,13.514359,53.31552989
4/11/2018,P2,Conventional,20.18498974,62.24994347
4/11/2018,P3,Diverse,13.514359,53.31552989
4/11/2018,P4,Diverse,21.49958686,62.24994347
4/12/2018,P1,Conventional,18.18821514,55.23439407
4/12/2018,P2,Conventional,21.64761923,64.34644997
4/12/2018,P3,Diverse,18.18821514,55.23439407
4/12/2018,P4,Diverse,24.00839559,64.34644997
4/13/2018,P1,Conventional,20.72493368,55.31924631
4/13/2018,P2,Conventional,22.25850759,64.57637926
4/13/2018,P3,Diverse,20.72493368,55.31924631
4/13/2018,P4,Diverse,25.13009824,64.57637926
4/14/2018,P1,Conventional,21.9988297,59.67770609
4/14/2018,P2,Conventional,25.36630118,68.44477734
4/14/2018,P3,Diverse,21.9988297,59.67770609
4/14/2018,P4,Diverse,27.69090449,68.44477734
4/15/2018,P1,Conventional,18.08519923,53.33098368
4/15/2018,P2,Conventional,19.94567479,63.14793848
4/15/2018,P3,Diverse,18.08519923,53.33098368
4/15/2018,P4,Diverse,22.48415713,63.14793848
4/16/2018,P1,Conventional,20.9323071,63.85176474
4/16/2018,P2,Conventional,25.96261261,69.79101143
4/16/2018,P3,Diverse,20.9323071,63.85176474
4/16/2018,P4,Diverse,25.97238868,69.79101143
4/17/2018,P1,Conventional,19.32865946,59.42798381
4/17/2018,P2,Conventional,24.6209344,69.17325262
4/17/2018,P3,Diverse,19.32865946,59.42798381
4/17/2018,P4,Diverse,25.82782147,69.17325262
4/18/2018,P1,Conventional,17.71522294,56.00843217
4/18/2018,P2,Conventional,23.6253313,66.75017872
4/18/2018,P3,Diverse,17.71522294,56.00843217
4/18/2018,P4,Diverse,24.98656947,66.75017872
4/19/2018,P1,Conventional,17.4300504,55.82908182
4/19/2018,P2,Conventional,24.380036,65.61578368
4/19/2018,P3,Diverse,17.4300504,55.82908182
4/19/2018,P4,Diverse,25.74843216,65.61578368
